Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","2020","2020","ha","227489","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","2020","2020","kg/ha","266.6","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2020","2020","t","60651","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","2021","2021","ha","284800","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","2021","2021","kg/ha","256.4","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2021","2021","t","73027","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","2022","2022","ha","268181","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","249.2","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2022","2022","t","66837","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","2023","2023","ha","258620","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","243.3","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2023","2023","t","62917","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","2024","2024","ha","325635","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","2024","2024","kg/ha","237.7","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2024","2024","t","77417","A","Official figure",""
